院校名称,省份,专业组名称,投档线,最低投档排名,,,,,,,,,,,,,,,
成都理工大学,四川,第104组,572,5398,,,,,,,,,,,,,,,
成都理工大学,四川,第101组,570,5769,,,,,,,,,,,,,,,
成都理工大学,四川,第103组,550,10380,,,,,,,,,,,,,,,
上海海洋大学,上海,第101组,571,5502,,,,,,,,,,,,,,,
长沙理工大学,湖南,第101组,571,5572,,,,,,,,,,,,,,,
南方医科大学,广东,第101组,570,5723,,,,,,,,,,,,,,,
中国石油大学（北京）克拉玛依校区,北京,第101组,570,5738,,,,,,,,,,,,,,,
中国石油大学（北京）克拉玛依校区,北京,第102组,565,6770,,,,,,,,,,,,,,,
天津工业大学,天津,第101组,570,5750,,,,,,,,,,,,,,,
华侨大学,福建,第101组,570,5758,,,,,,,,,,,,,,,
安徽师范大学,安徽,第103组,569,5936,,,,,,,,,,,,,,,
安徽师范大学,安徽,第104组,567,6301,,,,,,,,,,,,,,,
安徽师范大学,安徽,第102组,560,7949,,,,,,,,,,,,,,,
北京第二外国语学院,北京,第101组,569,6019,,,,,,,,,,,,,,,
浙江理工大学,浙江,第101组,569,5945,,,,,,,,,,,,,,,
武汉科技大学,湖北,第101组,569,6029,,,,,,,,,,,,,,,
苏州科技大学,江苏,第102组,569,5958,,,,,,,,,,,,,,,
苏州科技大学,江苏,第101组,564,6857,,,,,,,,,,,,,,,
温州大学,浙江,第101组,569,5917,,,,,,,,,,,,,,,
温州大学,浙江,第102组,569,5962,,,,,,,,,,,,,,,
烟台大学,山东,第101组,569,5915,,,,,,,,,,,,,,,
青岛大学,山东,第101组,569,5961,,,,,,,,,,,,,,,
青岛大学,山东,第102组,567,6340,,,,,,,,,,,,,,,
湖南科技大学,湖南,第102组,569,6000,,,,,,,,,,,,,,,
湖南科技大学,湖南,第101组,564,6865,,,,,,,,,,,,,,,
湖南科技大学,湖南,第103组,564,6972,,,,,,,,,,,,,,,
西北师范大学,甘肃,第103组,568,6132,,,,,,,,,,,,,,,
西北师范大学,甘肃,第102组,560,7989,,,,,,,,,,,,,,,
西北师范大学,甘肃,第104组,558,8377,,,,,,,,,,,,,,,
西北师范大学,甘肃,第101组,554,9309,,,,,,,,,,,,,,,
浙江农林大学,浙江,第101组,568,6046,,,,,,,,,,,,,,,
浙江农林大学,浙江,第102组,568,6230,,,,,,,,,,,,,,,
杭州师范大学,浙江,第101组,568,6140,,,,,,,,,,,,,,,
杭州师范大学,浙江,第102组,556,8961,,,,,,,,,,,,,,,
成都大学,四川,第102组,568,6209,,,,,,,,,,,,,,,
成都大学,四川,第101组,560,7808,,,,,,,,,,,,,,,
燕山大学,河北,第101组,567,6315,,,,,,,,,,,,,,,
江苏科技大学,江苏,第101组,567,6379,,,,,,,,,,,,,,,
天津中医药大学,天津,第101组,567,6385,,,,,,,,,,,,,,,
浙江科技大学,浙江,第102组,542,12764,,,,,,,,,,,,,,,
中国民航大学,天津,第102组,567,6365,,,,,,,,,,,,,,,
中国民航大学,天津,第101组,565,6791,,,,,,,,,,,,,,,
南京工业大学,江苏,第101组,567,6356,,,,,,,,,,,,,,,
济南大学,山东,第104组,567,6360,,,,,,,,,,,,,,,
济南大学,山东,第101组,564,6950,,,,,,,,,,,,,,,
济南大学,山东,第103组,562,7352,,,,,,,,,,,,,,,
济南大学,山东,第102组,554,9468,,,,,,,,,,,,,,,
长江大学,湖北,第103组,567,6296,,,,,,,,,,,,,,,
长江大学,湖北,第101组,564,6948,,,,,,,,,,,,,,,
南京工程学院,江苏,第101组,542,12765,,,,,,,,,,,,,,,
江汉大学,湖北,第101组,567,6367,,,,,,,,,,,,,,,
南华大学,湖南,第101组,567,6258,,,,,,,,,,,,,,,
延边大学,吉林,第101组,566,6546,,,,,,,,,,,,,,,
石河子大学,新疆,第101组,566,6558,,,,,,,,,,,,,,,
成都中医药大学,四川,第101组,566,6485,,,,,,,,,,,,,,,
河北师范大学,河北,第103组,565,6743,,,,,,,,,,,,,,,
河北师范大学,河北,第102组,562,7394,,,,,,,,,,,,,,,
