序号,院校名称,学校标识码,主管部门,所在地,层次,省市,性质,研究生,共建方,城市级,考研,推免,深造,国内升学,出国,行业隶属,顶尖专业,特色专业,官网,可点击链接
1238,江西警察学院,4136011504,江西省,南昌市,本科,江西,公办,,,二线,,,2.72%,,,,,,http://www.jxga.edu.cn/,http://www.jxga.edu.cn/
1239,新余学院,4136011508,江西省,新余市,本科,江西,公办,,,五线,4.79,,9.92%,9.65%,0.27%,,,,http://www.xyc.edu.cn/,http://www.xyc.edu.cn/
1240,九江学院,4136011843,江西省,九江市,本科,江西,公办,,,三线,6.1,,14.36%,13.97%,0.39%,,,,https://www.jju.edu.cn/,https://www.jju.edu.cn/
1241,江西工程学院,4136012766,江西省教育厅,新余市,本科,江西,民办,,,五线,3.57,,6.55%,,,,,,http://www.jxue.edu.cn/,http://www.jxue.edu.cn/
1242,南昌理工学院,4136012795,江西省教育厅,南昌市,本科,江西,民办,,,二线,2.01,,4.30%,3.31%,0.99%,,,,http://www.nut.edu.cn/,http://www.nut.edu.cn/
1243,江西应用科技学院,4136012938,江西省教育厅,南昌市,本科,江西,民办,,,二线,19.67,,4.83%,,,,,,http://www.jxcsedu.com/,http://www.jxcsedu.com/
1244,江西服装学院,4136013418,江西省教育厅,南昌市,本科,江西,民办,,,二线,0.32,,1.18%,1.01%,0.17%,,,,https://www.jift.edu.cn/,https://www.jift.edu.cn/
1245,南昌职业大学,4136013420,江西省教育厅,南昌市,本科,江西,民办,,,二线,0.89,,,,,,,,http://www.nczydx.com/,http://www.nczydx.com/
1246,南昌工学院,4136013421,江西省教育厅,南昌市,本科,江西,民办,,,二线,0.5,,3.01%,2.72%,0.29%,,,,http://www.ncpu.edu.cn/index.php?6,http://www.ncpu.edu.cn/index.php?6
1247,南昌大学科学技术学院,4136013429,江西省教育厅,南昌市,本科,江西,民办,,,二线,12,,5.15%,5.11%,0.04%,,,,http://www.ncpu.edu.cn/index.php?13,http://www.ncpu.edu.cn/index.php?13
1248,南昌大学共青学院,4136013430,江西省教育厅,九江市,本科,江西,民办,,,三线,5,,,,,,,,http://www.ndgy.cn/,http://www.ndgy.cn/
1249,南昌交通学院,4136013431,江西省教育厅,南昌市,本科,江西,民办,,,二线,8.46,,,,,,,,https://www.ecjtuit.edu.cn/,https://www.ecjtuit.edu.cn/
1250,赣东学院,4136013432,江西省,抚州市,本科,江西,公办,,,四线,13,,,,,,,,https://www.xxw3.com/lease.aspx/g3939,https://www.xxw3.com/lease.aspx/g3939
1251,南昌航空大学科技学院,4136013433,江西省教育厅,南昌市,本科,江西,民办,,,二线,6.76,,8.70%,8.43%,0.27%,,,,http://kjxy.nchu.edu.cn/,http://kjxy.nchu.edu.cn/
1252,赣南科技学院,4136013434,江西省,赣州市,本科,江西,公办,,,三线,4.82,,11.96%,,,,,,http://www.gnust.edu.cn/,http://www.gnust.edu.cn/
1253,景德镇艺术职业大学,4136013435,江西省教育厅,景德镇市,本科,江西,民办,,,四线,9,,,,,,,,http://www.jdzvua.edu.cn/,http://www.jdzvua.edu.cn/
1254,江西农业大学南昌商学院,4136013436,江西省教育厅,南昌市,本科,江西,民办,,,二线,3.92,,,,,,,,http://ncsxy.jxau.edu.cn/,http://ncsxy.jxau.edu.cn/
1255,南昌医学院,4136013437,江西省,南昌市,本科,江西,公办,,,二线,12.55,,21.42%,,,,,,http://www.ncmc.edu.cn/,http://www.ncmc.edu.cn/
1256,江西师范大学科学技术学院,4136013438,江西省教育厅,南昌市,本科,江西,民办,,,二线,6.02,,6.69%,,,,,,https://kjxy.jxnu.edu.cn/,https://kjxy.jxnu.edu.cn/
